epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,554.503,1.86771,3.01423,2.00757,0.58205,0.1776,0.2059,0.07458,nan,nan,nan,0.00332977,0.00332977,0.0700321
2,763.442,1.80248,2.75586,1.96407,0.32615,0.3956,0.31495,0.14471,1.81607,2.49372,1.968,0.00653118,0.00653118,0.0399001
3,972.544,1.693,2.49696,1.86604,0.21708,0.17511,0.12658,0.04504,2.31463,6.46241,2.57679,0.00960058,0.00960058,0.00963619
4,1181.24,1.62825,2.29461,1.79221,0.53293,0.53098,0.53746,0.25806,1.79018,1.93754,1.87215,0.009406,0.009406,0.009406
5,1389.63,1.55023,2.11055,1.72824,0.52191,0.62509,0.60281,0.31744,1.63054,1.82926,1.77442,0.009208,0.009208,0.009208
6,1598.4,1.51321,1.97905,1.69425,0.66166,0.64479,0.66725,0.3273,1.7572,1.68405,1.8785,0.00901,0.00901,0.00901
7,1817.94,1.48669,1.87085,1.66267,0.75138,0.70179,0.76255,0.40964,1.61305,1.35444,1.67661,0.008812,0.008812,0.008812
8,2034.4,1.43393,1.75038,1.60784,0.74216,0.66147,0.74518,0.3949,1.6254,1.39831,1.71006,0.008614,0.008614,0.008614
9,2268.53,1.42192,1.69555,1.59569,0.80643,0.6977,0.79217,0.47254,1.47627,1.27369,1.5797,0.008416,0.008416,0.008416
10,2503.58,1.40311,1.64059,1.57304,0.77298,0.76127,0.83181,0.47253,1.55356,1.15643,1.6249,0.008218,0.008218,0.008218
11,2738.89,1.37431,1.58292,1.5492,0.82578,0.73687,0.82478,0.46887,1.5318,1.16621,1.57809,0.00802,0.00802,0.00802
12,2961.79,1.35359,1.52011,1.52875,0.82057,0.75272,0.84188,0.49432,1.48476,1.14047,1.53023,0.007822,0.007822,0.007822
13,3172.65,1.33569,1.48329,1.50449,0.84956,0.79954,0.87117,0.48821,1.58391,1.05254,1.57725,0.007624,0.007624,0.007624
14,3383.78,1.31834,1.42749,1.48781,0.83238,0.83455,0.86837,0.51171,1.49487,1.04268,1.57053,0.007426,0.007426,0.007426
15,3595.2,1.31892,1.39904,1.48996,0.91284,0.80911,0.90098,0.5307,1.49979,0.94743,1.5314,0.007228,0.007228,0.007228
16,3805.45,1.30179,1.36574,1.4802,0.86943,0.85663,0.88755,0.47881,1.59624,1.01192,1.59327,0.00703,0.00703,0.00703
17,4015.37,1.27659,1.32097,1.45606,0.90046,0.83509,0.90229,0.50182,1.57915,0.93518,1.54122,0.006832,0.006832,0.006832
18,4225.22,1.2732,1.28685,1.44749,0.87718,0.83238,0.88563,0.5406,1.42309,0.92689,1.4624,0.006634,0.006634,0.006634
19,4435.73,1.24951,1.23773,1.42601,0.90614,0.85941,0.91505,0.51422,1.56146,0.86669,1.53606,0.006436,0.006436,0.006436
20,4646.89,1.24272,1.22796,1.42184,0.88911,0.83264,0.90055,0.55301,1.41105,0.85954,1.4455,0.006238,0.006238,0.006238
21,4864.18,1.2276,1.20896,1.41192,0.91939,0.84224,0.91159,0.55139,1.43023,0.80846,1.43656,0.00604,0.00604,0.00604
22,5074.59,1.22073,1.17528,1.40112,0.90218,0.85577,0.9139,0.53919,1.46749,0.80093,1.45031,0.005842,0.005842,0.005842
23,5288.03,1.20795,1.16323,1.39267,0.91483,0.856,0.90636,0.52849,1.47812,0.83927,1.47744,0.005644,0.005644,0.005644
24,5499.42,1.18943,1.12437,1.38099,0.90876,0.8677,0.91331,0.56596,1.39325,0.77781,1.40013,0.005446,0.005446,0.005446
25,5710.7,1.1913,1.12142,1.3814,0.90775,0.88652,0.92638,0.57613,1.38224,0.75118,1.40228,0.005248,0.005248,0.005248
26,5922.28,1.18323,1.08803,1.37038,0.90853,0.89123,0.92475,0.56688,1.42511,0.77638,1.4216,0.00505,0.00505,0.00505
27,6133.96,1.17213,1.06554,1.3592,0.92789,0.87618,0.92532,0.57809,1.39529,0.75347,1.40201,0.004852,0.004852,0.004852
28,6345.41,1.15576,1.04873,1.34955,0.93334,0.87229,0.92826,0.59972,1.31592,0.71357,1.35662,0.004654,0.004654,0.004654
29,6557.05,1.14781,1.03573,1.34439,0.88407,0.90787,0.929,0.57866,1.36164,0.72922,1.38166,0.004456,0.004456,0.004456
30,6767.72,1.137,1.01691,1.33584,0.92277,0.88134,0.9231,0.61247,1.2461,0.69699,1.29931,0.004258,0.004258,0.004258
31,6978.59,1.12627,1.00151,1.331,0.90459,0.88352,0.92583,0.60662,1.24325,0.69805,1.30137,0.00406,0.00406,0.00406
32,7193.62,1.10502,0.96634,1.31296,0.93902,0.90308,0.93225,0.61243,1.23995,0.66797,1.30292,0.003862,0.003862,0.003862
33,7410.68,1.09202,0.95116,1.30295,0.92265,0.90806,0.92896,0.62326,1.22268,0.67078,1.29229,0.003664,0.003664,0.003664
34,7628.71,1.08226,0.9376,1.29208,0.92282,0.90196,0.93401,0.62986,1.18877,0.64358,1.26694,0.003466,0.003466,0.003466
35,7844.21,1.07089,0.92539,1.28887,0.93299,0.91693,0.9369,0.64001,1.16066,0.64242,1.25987,0.003268,0.003268,0.003268
36,8061.09,1.06956,0.91317,1.28065,0.93407,0.91463,0.93602,0.64058,1.15835,0.62248,1.24998,0.00307,0.00307,0.00307
37,8277.62,1.04996,0.8918,1.26672,0.9184,0.90351,0.93332,0.63603,1.16703,0.62912,1.25624,0.002872,0.002872,0.002872
38,8491.74,1.04862,0.88584,1.26683,0.93137,0.91033,0.93509,0.65377,1.11934,0.61674,1.23256,0.002674,0.002674,0.002674
39,8702.58,1.03619,0.88164,1.26038,0.93127,0.90586,0.93522,0.64635,1.14274,0.61257,1.24227,0.002476,0.002476,0.002476
40,8913.39,1.02546,0.85849,1.25301,0.9434,0.90679,0.93984,0.65806,1.11648,0.60167,1.23012,0.002278,0.002278,0.002278
41,9156.04,0.89426,0.54442,1.19002,0.9354,0.91193,0.93811,0.67054,1.05364,0.60183,1.20031,0.00208,0.00208,0.00208
42,9367.99,0.87072,0.5161,1.17503,0.93494,0.90727,0.93691,0.67037,1.04536,0.60492,1.20016,0.001882,0.001882,0.001882
43,9579.77,0.85467,0.50125,1.16184,0.94127,0.9077,0.94145,0.67209,1.04188,0.5916,1.19897,0.001684,0.001684,0.001684
44,9792.8,0.83608,0.48883,1.14969,0.93711,0.90114,0.94247,0.67691,1.02545,0.58751,1.18829,0.001486,0.001486,0.001486
45,10005.4,0.82909,0.47956,1.14304,0.92758,0.90152,0.93985,0.68014,1.01603,0.58562,1.1792,0.001288,0.001288,0.001288
46,10218.3,0.81006,0.4663,1.13813,0.92463,0.90242,0.94046,0.68567,1.00721,0.57805,1.17181,0.00109,0.00109,0.00109
47,10430.7,0.79472,0.44994,1.12192,0.92933,0.90199,0.93947,0.68849,0.99994,0.57757,1.17156,0.000892,0.000892,0.000892
48,10642.8,0.78964,0.44565,1.11874,0.91986,0.91177,0.93817,0.69162,0.99143,0.57623,1.1684,0.000694,0.000694,0.000694
49,10854.6,0.77459,0.43326,1.11068,0.93833,0.89561,0.93811,0.69438,0.98517,0.57399,1.16586,0.000496,0.000496,0.000496
50,11066.4,0.76445,0.42735,1.10258,0.94287,0.89098,0.93954,0.69672,0.98021,0.57511,1.16421,0.000298,0.000298,0.000298
